# tracker_enabled,true
# target_guids,78a5b761-49c0-49b0-ba39-0c23a1ea12f7
# sample_rate_hz,10
# sample_interval_seconds,0.100000001
# machine_integrity_source,Sum(Modding.Blocks.Block.Health) / Sum(Modding.Blocks.Block.MaxHealth) over PlayerMachine.SimulationBlocks
# machine_health_sum_source,Sum(Modding.Blocks.Block.Health) over PlayerMachine.SimulationBlocks
# input_keys_held_source,UnityEngine.Input.GetKey over keyboard KeyCode values at sample time
# input_keys_down_source,UnityEngine.Input.GetKeyDown over keyboard KeyCode values since previous sample
# input_keys_up_source,UnityEngine.Input.GetKeyUp over keyboard KeyCode values since previous sample
# output_basename,MinimumCostOrbitalOpposedPair_260910_000944
sample_index,target_index,target_guid,target_name,elapsed_seconds,unity_time_seconds,input_keys_held,input_keys_down,input_keys_up,machine_integrity,machine_block_health_sum,machine_block_max_health_sum,machine_block_count,machine_cluster_count,target_block_health,target_block_max_health,x,y,z,rot_w,rot_x,rot_y,rot_z
0,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0,3604.54541,Space,,,1,0,0,3,1,0,0,0,5,0,1,0,0,0
1,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0.104492188,3604.6499,,,Space,1,0,0,3,1,0,0,-1.47054542E-14,4.97804832,2.7471895E-08,1,5.23267031E-13,-9.40575475E-08,7.82820753E-11
2,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0.204589844,3604.75,,,,1,0,0,3,1,0,0,-3.97023081E-09,5.18098211,4.95066423E-08,1,1.60496924E-07,-9.82342172E-08,7.22951867E-08
3,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0.304443359,3604.84985,,,,1,0,0,3,1,0,0,0.000152821245,5.92379713,3.87990696E-07,0.99999994,6.19265222E-07,-9.36972953E-08,-0.000432936591
4,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0.404541016,3604.94995,,,,1,0,0,3,1,0,0,0.000827330863,7.20599174,1.68905285E-06,0.99999994,1.39840745E-06,-9.90873943E-08,-0.000439978146
5,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0.504394531,3605.0498,,,,1,0,0,3,1,0,0,0.00205550925,9.02162647,5.14979774E-06,0.99999994,2.48825017E-06,-9.71303891E-08,-0.000440074771
6,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0.604492188,3605.1499,Q,Q,,1,0,0,3,1,0,0,0.00663191499,11.2514591,1.16938518E-05,0.997083247,3.77824313E-06,1.06926649E-07,-0.0763220936
7,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0.704589844,3605.25,Q,,,1,0,0,3,1,0,0,0.0667115822,13.5840712,2.07639769E-05,0.967439353,4.91739502E-06,3.40697369E-07,-0.253103107
8,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0.804443359,3605.34985,Q,,,1,0,0,3,1,0,0,0.286440551,15.9567995,3.28093447E-05,0.901729584,5.77189257E-06,2.5833512E-07,-0.432300717
9,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,0.904541016,3605.44995,,,Q,1,0,0,3,1,0,0,0.763459325,18.2904015,4.81241295E-05,0.806458354,6.2300046E-06,-2.2894632E-07,-0.59129101
10,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.00439453,3605.5498,,,,1,0,0,3,1,0,0,1.85325193,20.5840321,7.0265407E-05,0.794766486,6.6175603E-06,-2.06934737E-06,-0.606915414
11,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.10449219,3605.6499,,,,1,0,0,3,1,0,0,3.67386198,22.8375549,0.000102237638,0.794805348,7.22349068E-06,-4.20527203E-06,-0.606864452
12,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.20458984,3605.75,,,,1,0,0,3,1,0,0,6.21384192,25.0515289,0.000146627339,0.794806004,8.05728178E-06,-6.52368863E-06,-0.606863618
13,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.30444336,3605.84985,Q,Q,,1,0,0,3,1,0,0,9.45451927,27.2250538,0.000206129916,0.787847281,9.19162812E-06,-8.88960767E-06,-0.615870655
14,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.40454102,3605.94995,,,Q,1,0,0,3,1,0,0,13.1321144,29.2662563,0.000277102459,0.698595405,1.1161661E-05,-1.03004295E-05,-0.715516925
15,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.50439453,3606.0498,,,,1,0,0,3,1,0,0,17.4537544,31.0677547,0.000368402631,0.691133976,1.17508407E-05,-1.34198663E-05,-0.722726703
16,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.60449219,3606.1499,,,,1,0,0,3,1,0,0,22.4961281,32.6049194,0.00048618947,0.691102743,1.2442164E-05,-1.68877395E-05,-0.722756624
17,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.70458984,3606.25,,,,1,0,0,3,1,0,0,28.2443962,33.8816948,0.000634465658,0.691102147,1.33648537E-05,-2.05760807E-05,-0.722757161
18,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.80444336,3606.34985,,,,1,0,0,3,1,0,0,34.6886368,34.9020004,0.000817976892,0.691102445,1.44897613E-05,-2.44639541E-05,-0.722756922
19,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,1.90454102,3606.44995,,,,1,0,0,3,1,0,0,41.819809,35.6695595,0.00104181876,0.691100121,1.58130642E-05,-2.85604929E-05,-0.722759068
20,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.00439453,3606.5498,,,,1,0,0,3,1,0,0,49.6287918,36.1879578,0.00131139206,0.691099524,1.73718545E-05,-3.28869464E-05,-0.722759664
21,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.10449219,3606.6499,,,,1,0,0,3,1,0,0,58.1063805,36.4606743,0.00163264701,0.69110024,1.91234703E-05,-3.74089941E-05,-0.722759008
22,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.20458984,3606.75,,,,1,0,0,3,1,0,0,67.2432785,36.4911423,0.00201184256,0.69109714,2.11170263E-05,-4.21021323E-05,-0.722761929
23,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.30444336,3606.84985,,,,1,0,0,3,1,0,0,77.0301361,36.2827377,0.00245551975,0.691095591,2.33031114E-05,-4.70042069E-05,-0.72276336
24,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.40454102,3606.94995,,,,1,0,0,3,1,0,0,87.4575119,35.838829,0.00297067268,0.691091001,2.57391475E-05,-5.21131951E-05,-0.72276777
25,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.50439453,3607.0498,,,,1,0,0,3,1,0,0,98.5159454,35.1628075,0.00356466509,0.691092014,2.83619011E-05,-5.74029291E-05,-0.722766817
26,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.60449219,3607.1499,,,,1,0,0,3,1,0,0,110.195953,34.2581253,0.00424518948,0.691093206,3.11599106E-05,-6.28926064E-05,-0.722765684
27,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.70458984,3607.25,,,,1,0,0,3,1,0,0,122.48806,33.1283035,0.00502014905,0.691092193,3.41575724E-05,-6.85771447E-05,-0.722766697
28,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.80444336,3607.34985,,,,1,0,0,3,1,0,0,135.382874,31.7769756,0.0058979555,0.691084027,3.7373251E-05,-7.4455842E-05,-0.722774506
29,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,2.90454102,3607.44995,,,,1,0,0,3,1,0,0,148.871017,30.2078896,0.00688720075,0.69109571,4.07776533E-05,-8.05234158E-05,-0.72276336
30,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.00439453,3607.5498,,,,1,0,0,3,1,0,0,162.943283,28.4249592,0.00799683295,0.691091299,4.43878416E-05,-8.67775889E-05,-0.722767472
31,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.10449219,3607.6499,,,,1,0,0,3,1,0,0,177.590683,26.4322701,0.00923616998,0.691092193,4.81911447E-05,-9.32457406E-05,-0.722766697
32,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.20458984,3607.75,Q,Q,,1,0,0,3,1,0,0,192.742935,24.2359562,0.0106019191,0.656977355,5.65205046E-05,-9.75163202E-05,-0.753910303
33,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.30444336,3607.84985,,,Q,1,0,0,3,1,0,0,208.119156,21.798872,0.0120486263,0.557892978,7.05967032E-05,-9.75021176E-05,-0.829912901
34,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.40454102,3607.94995,,,,1,0,0,3,1,0,0,223.967026,18.9332638,0.0136548812,0.555297136,7.20825337E-05,-0.000105874278,-0.831652105
35,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.50439453,3608.0498,Q,Q,,1,0,0,3,1,0,0,240.299988,15.6203785,0.0154370172,0.55174911,7.38906238E-05,-0.000114353737,-0.834010124
36,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.60449219,3608.1499,Q,,,1,0,0,3,1,0,0,256.861115,11.9558659,0.0173322596,0.429757595,8.99053339E-05,-0.000112091606,-0.902944326
37,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.70458984,3608.25,,,Q,1,0,0,3,1,0,0,273.584167,7.81127977,0.0193500146,0.368330479,9.47170556E-05,-0.000115826777,-0.92969501
38,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.80444336,3608.34985,,Q,,1,0,0,3,1,0,0,290.545105,3.03326249,0.0215389002,0.311173171,9.88292522E-05,-0.00012022382,-0.950353265
39,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,3.90454102,3608.44995,,,Q,1,0,0,3,1,0,0,307.610474,-2.3498497,0.0238729753,0.272049278,9.87727108E-05,-0.000126485596,-0.962283373
40,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,4.00439453,3608.5498,,,,1,0,0,3,1,0,0,324.841125,-8.50880146,0.0264096688,0.271989971,9.37655059E-05,-0.000137139155,-0.962300062
41,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,4.10449219,3608.6499,Q,Q,,1,0,0,3,1,0,0,342.220428,-15.4164696,0.0291535389,0.2610659,9.04946719E-05,-0.0001470102,-0.965321004
42,0,78a5b761-49c0-49b0-ba39-0c23a1ea12f7,StartingBlock,4.20458984,3608.75,,,Q,1,0,0,3,1,0,0,359.577881,-22.8304462,0.032018315,0.119259596,0.000104749168,-0.000143554105,-0.992863119
