# tracker_enabled,true
# target_guids,23658da8-233b-4b62-9d1d-336fb653ecb5
# sample_rate_hz,10
# sample_interval_seconds,0.100000001
# machine_integrity_source,Sum(Modding.Blocks.Block.Health) / Sum(Modding.Blocks.Block.MaxHealth) over PlayerMachine.SimulationBlocks
# machine_health_sum_source,Sum(Modding.Blocks.Block.Health) over PlayerMachine.SimulationBlocks
# input_keys_held_source,UnityEngine.Input.GetKey over keyboard KeyCode values at sample time
# input_keys_down_source,UnityEngine.Input.GetKeyDown over keyboard KeyCode values since previous sample
# input_keys_up_source,UnityEngine.Input.GetKeyUp over keyboard KeyCode values since previous sample
# output_basename,Minimal Orbital Thrustcraft_260909_230621
sample_index,target_index,target_guid,target_name,elapsed_seconds,unity_time_seconds,input_keys_held,input_keys_down,input_keys_up,machine_integrity,machine_block_health_sum,machine_block_max_health_sum,machine_block_count,machine_cluster_count,target_block_health,target_block_max_health,x,y,z,rot_w,rot_x,rot_y,rot_z
0,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0,5567.00781,Space,,,1,0,0,5,1,0,0,0,5,0,1,0,0,0
1,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0.102050781,5567.10986,,,Space,1,0,0,5,1,0,0,-3.37457551E-09,5.00582218,2.21220127E-08,1,3.47675041E-07,-4.41871997E-08,1.48159231E-07
2,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0.202148438,5567.20996,,,,1,0,0,5,1,0,0,0.000226149888,5.5053606,6.86320564E-05,0.99999994,0.000263261609,-1.67467562E-07,-0.000275077211
3,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0.302246094,5567.31006,F,F,,1,0,0,5,1,0,0,0.00104274647,6.67705297,-0.00253174268,0.998342097,-0.0575593375,2.39175788E-05,-0.000280272303
4,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0.401855469,5567.40967,F,,,1,0,0,5,1,0,0,0.00233618217,8.31004143,-0.095898591,0.973475516,-0.228791118,9.47724111E-05,-0.00027812348
5,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0.501953125,5567.50977,F,,,1,0,0,5,1,0,0,0.00404386176,10.3087883,-0.488927454,0.91267103,-0.408694923,0.000168399594,-0.000268865435
6,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0.602050781,5567.60986,,,F,1,0,0,5,1,0,0,0.00609293068,12.5563173,-1.4371767,0.861531079,-0.507704914,0.000206465877,-0.000261546928
7,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0.702148438,5567.70996,,,,1,0,0,5,1,0,0,0.00848626625,15.0347176,-3.20096731,0.860926688,-0.508729041,0.000205585704,-0.000261296926
8,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0.802246094,5567.81006,,,,1,0,0,5,1,0,0,0.0112145329,17.72785,-5.77863693,0.86092037,-0.508739769,0.000204438227,-0.000261645706
9,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,0.901855469,5567.90967,F,,,1,0,0,5,1,0,0,0.0142752519,20.6335258,-9.16215611,0.860920906,-0.508738816,0.000203275966,-0.000261021574
10,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,1.00195313,5568.00977,F,F,,1,0,0,5,1,0,0,0.0176128913,23.6836166,-13.2500191,0.802721143,-0.596354485,0.000241455025,-0.000244033348
11,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,1.10205078,5568.10986,,,F,1,0,0,5,1,0,0,0.0210999958,26.6994743,-18.0387974,0.749258935,-0.662277102,0.000267413328,-0.000231405545
12,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,1.20214844,5568.20996,,,,1,0,0,5,1,0,0,0.0246820245,29.5981274,-23.7259827,0.749164879,-0.662383497,0.000266168936,-0.000230856967
13,0,23658da8-233b-4b62-9d1d-336fb653ecb5,StartingBlock,1.30224609,5568.31006,,,,1,0,0,5,1,0,0,0.0283465907,32.3734932,-30.2933903,0.749162614,-0.66238606,0.000265536015,-0.000230450329
